image_path,dataset,AQI,loss_weight,michelson_contrast,fft_slope,laplacian_edge,color_temperature,illuminant_vector,geometric_proxy,specular_reflection,glow_dispersion
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-27.jpg,IND_NEP,158.0,1.0,0.7605026895523159,-1.0868624730744036,1727.19429687697,0.927260211106012,1.0031146380177998,0.7118990881661664,0.18616470025510204,0.9167025891362685
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-26.jpg,IND_NEP,158.0,1.0,2.0221062747572836,-1.098206006628778,1653.697225942854,0.9326883491148621,1.0038386294724615,0.7136685979432614,0.18349410076530612,0.9184701772688115
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-25.jpg,IND_NEP,158.0,1.0,1.7896404132564134,-1.0880292930964368,1692.4129954520388,0.9278957326045827,1.0049197656621651,0.7100126130480747,0.17625956632653061,0.9157315975234357
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-24.jpg,IND_NEP,158.0,1.0,2.7289504059313123,-1.1042085841628437,1703.1599560363845,0.9119964973730298,1.0053413569169067,0.7110854497493374,0.16966278698979592,0.9160499511829084
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-23.jpg,IND_NEP,158.0,1.0,0.9290018653933332,-1.082467302741763,1657.4132674378886,0.9139072847682119,1.0063194454656177,0.7112086808640125,0.16613520408163265,0.916645204587002
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-22.jpg,IND_NEP,158.0,1.0,0.5143702600511033,-1.0852856298410953,1644.4160177587519,0.9372663066057333,1.004178563861813,0.7098819548056877,0.17151626275510204,0.9209657657657658
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-21.jpg,IND_NEP,158.0,1.0,0.9669451580889962,-1.093879373237499,1589.5557962657513,0.9670627475505524,1.0041021110061883,0.7138947994547911,0.17356903698979592,0.9209132179142482
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-20.jpg,IND_NEP,158.0,1.0,2.571323748169072,-1.101586074340459,1593.9980268017644,0.9681074276122534,1.0025019515689273,0.7168864829791091,0.17512356505102042,0.922542264016812
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-2.jpg,IND_NEP,158.0,1.0,0.491642617066246,-1.0942593204337012,1789.3378443048678,0.8607371441182962,1.0000315593690023,0.7167179478585192,0.14969308035714285,0.9222875654851372
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-19.jpg,IND_NEP,158.0,1.0,4.220319052520924,-1.0950517044023524,1535.3090719646436,0.9628159598913725,1.003563254627881,0.7176371791603736,0.17354910714285715,0.922857346749447
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-18.jpg,IND_NEP,158.0,1.0,4.537330980109004,-1.096987386879951,1509.4603164828554,0.9491197523698974,1.0041358142873102,0.719643868649758,0.17161591198979592,0.9222425079039943
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-17.jpg,IND_NEP,158.0,1.0,3.0173570533689387,-1.0808448002518625,1553.1660139726532,0.936769078295342,1.0033050832400836,0.7220969196178088,0.1709781568877551,0.9223348914033699
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-16.jpg,IND_NEP,158.0,1.0,0.7988529432165921,-1.094352147094331,1516.0837647141343,0.9046486090775988,1.0026479629721967,0.7208457482945896,0.16442123724489796,0.9208101274775014
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-15.jpg,IND_NEP,158.0,1.0,0.773100003302897,-1.0963034209188252,1501.4938945253905,0.8987718645329363,1.0019540252904664,0.7214319200669292,0.16103316326530612,0.9203721249199173
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-14.jpg,IND_NEP,158.0,1.0,1.208485135852835,-1.0864689107223762,1545.1985825642305,0.7290805276629257,0.9993787996041387,0.7209321388770084,0.1548748405612245,0.9189341017171504
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-13.jpg,IND_NEP,158.0,1.0,1.8127130827345228,-1.0911037957451233,1515.811618170605,0.7712984054669704,0.9989302979970185,0.7182074401144601,0.11407844387755102,0.9017087281483566
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-12.jpg,IND_NEP,158.0,1.0,1.3942374044116486,-1.0937488910569895,1542.0299740306343,0.7373737373737373,0.9989491139941247,0.7190969926866818,0.18488919005102042,0.9302673147746
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-11.jpg,IND_NEP,158.0,1.0,0.6094157714541738,-1.087537312391955,1660.147926238416,0.5174236962268686,0.9974674218919546,0.7195712573502354,0.19122688137755103,0.9289241065186454
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-10.jpg,IND_NEP,158.0,1.0,0.8192480009159104,-1.0942955013158404,1762.673685762595,0.3404510556621881,0.9961632591576131,0.7126628630546776,0.1669921875,0.9255273735637463
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-3-1.jpg,IND_NEP,158.0,1.0,0.4901213343169959,-1.1209437144702077,1655.4483184715152,0.43906834881464024,0.998362409240291,0.7199697908580001,0.154296875,0.9227452396291288
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-2-97.jpg,IND_NEP,158.0,1.0,10.00905575958356,-1.07891180535021,3498.3460873274544,0.07175646291374728,0.9956461468481896,0.6359739250356504,0.19102758290816327,0.9330833159710165
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-2-96.jpg,IND_NEP,158.0,1.0,1.971286073028902,-1.0744882998340066,3561.367919476615,0.07100231396906588,0.9960123270821553,0.6332640936124182,0.19086814413265307,0.9328237880446006
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-2-95.jpg,IND_NEP,158.0,1.0,2.4018380933384926,-1.0558663533094748,3531.8074281526474,0.05425969814144942,0.9941243318406333,0.6397738280735491,0.1972058354591837,0.9337993769889543
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-2-94.jpg,IND_NEP,158.0,1.0,0.5580162944563063,-1.0740744258442763,3573.1914216803793,0.05323685230649955,0.9931389200226339,0.6409417135438139,0.1971859056122449,0.935343357241684
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BIR_UNH_VF_2023-02-02- 12.00-2-93.jpg,IND_NEP,158.0,1.0,1.4797008770418991,-1.060194146085575,3537.8294856692296,0.05167958656330749,0.9926858986508214,0.6385542139093588,0.1991390306122449,0.935671055928287
/Users/nesar/VS/V1/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/IND_and_NEP/d_Unhealthy/BRI_Un_2023-02-02- 12.00-9.jpg,IND_NEP,158.0,1.0,1.0859136302465686,-0.8362089042838704,12059.445417839903,0.760695589385643,1.0435926717911888,0.5508752298988157,0.3059630102040816,0.8821308829784572
