city,state,timestamp,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_overall
Ooty,TamilNadu,2025-05-19 10:00:00,,16.0,,5.0,29.0,33.0,26.0,33.0
Pali,Rajasthan,2025-05-19 10:00:00,36.0,4.0,32.0,32.0,116.0,57.0,11.0,116.0
Panchgaon,Haryana,2025-05-19 10:00:00,65.0,7.0,80.0,28.0,71.0,76.0,19.0,80.0
Patiala,Punjab,2025-05-19 10:00:00,48.0,4.0,18.0,48.0,129.0,133.0,3.0,133.0
Patna,Bihar,2025-05-19 10:00:00,43.5,4.5,29.8,47.333333333333336,86.0,61.0,9.166666666666666,86.0
Perundurai,TamilNadu,2025-05-19 10:00:00,32.0,3.0,7.0,46.0,,19.0,14.0,46.0
Pimpri-Chinchwad,Maharashtra,2025-05-19 10:00:00,27.666666666666668,8.666666666666666,27.0,4.0,57.0,36.0,2.3333333333333335,57.0
Pithampur,Madhya Pradesh,2025-05-19 10:00:00,16.0,2.0,19.0,44.0,91.0,69.0,14.0,91.0
Pratapgarh,Rajasthan,2025-05-19 10:00:00,25.0,5.0,22.0,23.0,59.0,31.0,5.0,59.0
Prayagraj,Uttar_Pradesh,2025-05-19 10:00:00,9.0,6.333333333333333,7.666666666666667,29.333333333333332,93.0,54.666666666666664,36.0,93.0
Pune,Maharashtra,2025-05-19 10:00:00,36.0,2.0,26.8,13.166666666666666,49.833333333333336,33.833333333333336,5.5,49.833333333333336
Purnia,Bihar,2025-05-19 10:00:00,44.0,3.0,19.0,18.0,,,,44.0
Raipur,Chhattisgarh,2025-05-19 10:00:00,30.0,4.75,23.0,6.75,67.0,49.5,9.5,67.0
Rairangpur,Odisha,2025-05-19 10:00:00,20.0,,,10.0,50.0,44.0,,50.0
Rajamahendravaram,Andhra_Pradesh,2025-05-19 10:00:00,24.0,2.0,21.0,11.0,36.0,23.0,3.0,36.0
Rajgir,Bihar,2025-05-19 10:00:00,,3.0,9.0,34.0,58.0,66.0,,66.0
Rajsamand,Rajasthan,2025-05-19 10:00:00,37.0,11.0,34.0,74.0,59.0,43.0,10.0,74.0
Ramanagara,Karnataka,2025-05-19 10:00:00,8.0,,,25.0,,,,25.0
Ramanathapuram,TamilNadu,2025-05-19 10:00:00,29.0,2.0,12.0,6.0,22.0,25.0,14.0,29.0
Ranipet,TamilNadu,2025-05-19 10:00:00,,8.0,1.0,1.0,,,16.0,16.0
Ratlam,Madhya Pradesh,2025-05-19 10:00:00,,,,,67.0,45.0,43.0,67.0
Rishikesh,Uttarakhand,2025-05-19 10:00:00,33.0,5.0,10.0,24.0,70.0,65.0,4.0,70.0
Rourkela,Odisha,2025-05-19 10:00:00,45.0,5.0,22.5,,83.0,72.33333333333333,9.0,83.0
Sagar,Madhya Pradesh,2025-05-19 10:00:00,49.0,1.0,12.5,40.0,52.5,42.0,7.0,52.5
Salem,TamilNadu,2025-05-19 10:00:00,43.0,3.0,12.0,16.0,25.0,17.0,82.0,82.0
Sangli,Maharashtra,2025-05-19 10:00:00,14.0,3.0,13.0,9.0,54.0,40.0,16.0,54.0
Sawai Madhopur,Rajasthan,2025-05-19 10:00:00,54.0,13.0,19.0,56.0,124.0,66.0,8.0,124.0
Shillong,Meghalaya,2025-05-19 10:00:00,8.0,,,55.0,,9.0,5.0,55.0
